time,ecg,peak
1757168812333.9673,-62,0
1757168812341.6597,-64,0
1757168812237.7869,-62,0
1757168812245.4792,-59,0
1757168812253.1716,-62,0
1757168812260.864,-57,0
1757168812268.5564,-57,0
1757168812276.2488,-59,0
1757168812283.9412,-55,0
1757168812291.6335,-52,0
1757168812299.326,-55,0
1757168812307.0183,-57,0
1757168812314.7107,-66,0
1757168812322.403,-64,0
1757168812330.0955,-32,0
1757168812337.7878,-16,0
1757168812345.4802,-18,0
1757168812353.1726,-16,0
1757168812360.865,-32,0
1757168812368.5574,-55,0
1757168812376.2498,-57,0
1757168812383.9421,-52,0
1757168812391.6345,-55,0
1757168812399.327,-57,0
1757168812407.0193,-68,0
1757168812414.7117,-89,0
1757168812422.404,-140,0
1757168812430.0964,-135,0
1757168812437.7888,165,0
1757168812445.4812,793,0
1757168812453.1736,1400,0
1757168812460.866,1492,0
1757168812468.5583,696,0
1757168812476.2507,-296,0
1757168812483.943,-381,0
1757168812491.6355,-55,0
1757168812499.328,-151,0
1757168812507.0203,-268,0
1757168812514.7126,-158,0
1757168812522.405,-133,0
1757168812530.0974,-172,0
1757168812537.7898,-137,0
1757168812545.4822,-108,0
1757168812553.1746,-110,0
1757168812560.867,-94,0
1757168812568.5593,-73,0
1757168812576.2517,-66,0
1757168812583.944,-55,0
1757168812591.6365,-34,0
1757168812599.3289,-13,0
1757168812607.0212,6,0
1757168812614.7136,25,0
1757168812622.406,43,0
1757168812630.0984,64,0
1757168812637.7908,87,0
1757168812645.4832,110,0
1757168812653.1755,126,0
1757168812660.868,133,0
1757168812668.5603,126,0
1757168812676.2527,112,0
1757168812683.945,94,0
1757168812691.6375,66,0
1757168812699.3298,36,0
1757168812707.0222,-2,0
1757168812714.7146,-48,0
1757168812722.407,-87,0
1757168812730.0994,-110,0
1757168812737.7917,-124,0
1757168812745.4841,-135,0
1757168812753.1765,-142,0
1757168812760.869,-147,0
1757168812768.5613,-144,0
1757168812776.2537,-140,0
1757168812783.946,-131,0
1757168812791.6384,-126,0
1757168812823.7837,-124,0
1757168812831.476,-121,0
1757168812839.1685,-117,0
1757168812846.8608,-108,0
1757168812854.5532,-101,0
1757168812862.2456,-98,0
1757168812869.938,-98,0
1757168812877.6304,-110,0
1757168812885.3228,-114,0
1757168812893.0151,-98,0
1757168812900.7075,-82,0
1757168812908.4,-80,0
1757168812916.0923,-80,0
1757168812923.7847,-78,0
1757168812931.477,-75,0
1757168812939.1694,-68,0
1757168812946.8618,-66,0
1757168812954.5542,-73,0
1757168812962.2466,-75,0
1757168812969.939,-75,0
1757168812977.6313,-75,0
1757168812985.3237,-73,0
1757168812993.016,-73,0
1757168813000.7085,-73,0
1757168813008.401,-73,0
1757168813016.0933,-73,0
1757168813023.7856,-78,0
1757168813031.478,-85,0
1757168813039.1704,-78,0
1757168813046.8628,-64,0
1757168813054.5552,-66,0
1757168813062.2476,-75,0
1757168813069.94,-71,0
1757168813077.6323,-57,0
1757168813085.3247,-57,0
1757168813093.017,-59,0
1757168813100.7095,-59,0
1757168813108.4019,-59,0
1757168813116.0942,-57,0
1757168813123.7866,-52,0
1757168813131.479,-50,0
1757168813139.1714,-50,0
1757168813146.8638,-55,0
1757168813154.5562,-57,0
1757168813162.2485,-52,0
1757168813169.941,-45,0
1757168813177.6333,-45,0
1757168813185.3257,-48,0
1757168813193.018,-48,0
1757168813200.7104,-50,0
1757168813208.4028,-50,0
1757168813216.0952,-50,0
1757168813223.7876,-48,0
1757168813231.48,-48,0
1757168813239.1724,-48,0
1757168813246.8647,-43,0
1757168813254.5571,-36,0
1757168813262.2495,-39,0
1757168813269.942,-34,0
1757168813277.6343,-18,0
1757168813285.3267,-11,0
1757168813293.019,-11,0
1757168813300.7114,-2,0
1757168813308.4038,0,0
1757168813316.0962,-22,0
1757168813323.7886,-43,0
1757168813331.481,-50,0
1757168813339.1733,-48,0
1757168813346.8657,-41,0
1757168813354.558,-36,0
1757168813362.2505,-55,0
1757168813369.9429,-114,0
1757168813377.6353,-112,0
1757168813382.3994,177,0
1757168813390.0918,795,0
1757168813397.7842,1397,0
1757168813405.4766,1480,0
1757168813413.169,675,0
1757168813420.8613,-331,0
1757168813428.5537,-416,0
1757168813436.246,-59,0
1757168813443.9385,-128,0
1757168813451.6309,-243,0
1757168813459.3232,-160,0
1757168813467.0156,-156,0
1757168813474.708,-183,0
1757168813482.4004,-128,0
1757168813490.0928,-103,0
1757168813497.7852,-110,0
1757168813505.4775,-94,0
1757168813513.17,-75,0
1757168813520.8623,-68,0
1757168813528.5547,-59,0
1757168813536.247,-43,0
1757168813543.9395,-20,0
1757168813551.6318,0,0
1757168813559.3242,20,0
1757168813567.0166,43,0
1757168813574.709,66,0
1757168813582.4014,89,0
1757168813590.0938,110,0
1757168813597.7861,121,0
1757168813605.4785,124,0
1757168813613.171,119,0
1757168813620.8633,105,0
1757168813628.5557,85,0
1757168813636.248,59,0
1757168813643.9404,25,0
1757168813651.6328,-18,0
1757168813659.3252,-64,0
1757168813667.0176,-105,0
1757168813674.71,-133,0
1757168813682.4023,-154,0
1757168813690.0947,-170,0
1757168813697.787,-179,0
1757168813705.4795,-181,0
1757168813713.1719,-177,0
1757168813720.8643,-170,0
1757168813728.5566,-172,0
1757168813736.249,-177,0
1757168813743.9414,-170,0
1757168813751.6338,-158,0
1757168813759.3262,-151,0
1757168813767.0186,-147,0
1757168813774.711,-142,0
1757168813782.4033,-140,0
1757168813790.0957,-140,0
1757168813797.788,-133,0
1757168813805.4805,-126,0
1757168813813.1729,-124,0
1757168813820.8652,-124,0
1757168813828.5576,-124,0
1757168813836.25,-126,0
1757168813843.9424,-133,0
1757168813851.6348,-135,0
1757168813859.3271,-128,0
1757168813867.0195,-131,0
1757168813874.712,-135,0
1757168813882.4043,-137,0
1757168813890.0967,-140,0
1757168813897.789,-144,0
1757168813905.4814,-142,0
1757168813913.1738,-142,0
1757168813920.8662,-144,0
1757168813928.5586,-147,0
1757168813936.251,-147,0
1757168813948.9175,-142,0
1757168813956.6099,-142,0
1757168813964.3022,-144,0
1757168813971.9946,-144,0
1757168813979.687,-142,0
1757168813987.3794,-147,0
1757168813995.0718,-144,0
1757168814002.7642,-147,0
1757168814010.4565,-165,0
1757168814018.149,-160,0
1757168814025.8413,-142,0
1757168814033.5337,-140,0
1757168814041.226,-151,0
1757168814048.9185,-154,0
1757168814056.6108,-147,0
1757168814064.3032,-140,0
1757168814071.9956,-137,0
1757168814079.688,-137,0
1757168814087.3804,-135,0
1757168814095.0728,-135,0
1757168814102.7651,-135,0
1757168814110.4575,-128,0
1757168814118.15,-124,0
1757168814125.8423,-131,0
1757168814133.5347,-128,0
