ecg,R
-39.0,0
-37.0,0
-32.0,0
-25.0,0
-11.0,0
-7.0,0
-11.0,0
-9.0,0
-9.0,0
-7.0,0
-4.0,0
-4.0,0
-7.0,0
-7.0,0
-9.0,0
-7.0,0
-2.0,0
-2.0,0
-4.0,0
-4.0,0
-4.0,0
-2.0,0
-2.0,0
0.0,0
0.0,0
7.0,0
16.0,0
21.0,0
21.0,0
21.0,0
18.0,0
14.0,0
9.0,0
11.0,0
14.0,0
14.0,0
18.0,0
23.0,0
32.0,0
51.0,0
58.0,0
42.0,0
28.0,0
25.0,0
21.0,0
18.0,0
21.0,0
21.0,0
18.0,0
21.0,0
23.0,0
21.0,0
-30.0,0
-79.0,0
144.0,0
798.0,0
1282.0,1
782.0,0
-184.0,0
-366.0,0
-4.0,0
28.0,0
-67.0,0
-9.0,0
4.0,0
-37.0,0
-18.0,0
2.0,0
-4.0,0
0.0,0
11.0,0
14.0,0
16.0,0
25.0,0
32.0,0
37.0,0
42.0,0
46.0,0
53.0,0
65.0,0
74.0,0
79.0,0
84.0,0
91.0,0
93.0,0
91.0,0
93.0,0
95.0,0
100.0,0
102.0,0
105.0,0
112.0,0
114.0,0
105.0,0
86.0,0
63.0,0
42.0,0
18.0,0
-2.0,0
-21.0,0
-35.0,0
-37.0,0
-39.0,0
-37.0,0
-30.0,0
-25.0,0
-30.0,0
-32.0,0
-30.0,0
-25.0,0
-25.0,0
-25.0,0
-25.0,0
-23.0,0
-21.0,0
-25.0,0
-25.0,0
-23.0,0
-18.0,0
-14.0,0
-14.0,0
-9.0,0
-9.0,0
-14.0,0
-14.0,0
-9.0,0
-9.0,0
-7.0,0
-4.0,0
-4.0,0
-11.0,0
-9.0,0
-2.0,0
-2.0,0
-7.0,0
-2.0,0
4.0,0
4.0,0
-2.0,0
-9.0,0
-7.0,0
-4.0,0
-2.0,0
7.0,0
18.0,0
28.0,0
37.0,0
32.0,0
23.0,0
28.0,0
32.0,0
25.0,0
28.0,0
32.0,0
32.0,0
30.0,0
35.0,0
44.0,0
28.0,0
-25.0,0
49.0,0
495.0,0
1053.0,1
910.0,0
-7.0,0
-516.0,0
-189.0,0
60.0,0
-11.0,0
11.0,0
56.0,0
11.0,0
14.0,0
51.0,0
44.0,0
30.0,0
46.0,0
56.0,0
58.0,0
65.0,0
72.0,0
67.0,0
65.0,0
70.0,0
79.0,0
86.0,0
88.0,0
84.0,0
86.0,0
98.0,0
105.0,0
107.0,0
109.0,0
112.0,0
112.0,0
107.0,0
116.0,0
126.0,0
119.0,0
109.0,0
95.0,0
63.0,0
35.0,0
11.0,0
-16.0,0
-44.0,0
-60.0,0
-67.0,0
-70.0,0
-65.0,0
-60.0,0
-65.0,0
-67.0,0
-58.0,0
-46.0,0
-44.0,0
-46.0,0
-49.0,0
-51.0,0
-46.0,0
-35.0,0
-30.0,0
-30.0,0
-25.0,0
-18.0,0
-7.0,0
7.0,0
16.0,0
4.0,0
-2.0,0
2.0,0
4.0,0
4.0,0
9.0,0
11.0,0
9.0,0
9.0,0
7.0,0
9.0,0
9.0,0
7.0,0
2.0,0
-2.0,0
2.0,0
4.0,0
7.0,0
11.0,0
16.0,0
28.0,0
46.0,0
46.0,0
28.0,0
21.0,0
18.0,0
14.0,0
16.0,0
21.0,0
18.0,0
14.0,0
18.0,0
18.0,0
2.0,0
-49.0,0
-4.0,0
406.0,0
1022.0,1
1018.0,0
114.0,0
-544.0,0
-277.0,0
30.0,0
-35.0,0
-30.0,0
42.0,0
9.0,0
-4.0,0
25.0,0
25.0,0
18.0,0
32.0,0
39.0,0
39.0,0
46.0,0
51.0,0
56.0,0
63.0,0
67.0,0
70.0,0
74.0,0
88.0,0
98.0,0
100.0,0
102.0,0
105.0,0
105.0,0
114.0,0
130.0,0
135.0,0
130.0,0
133.0,0
137.0,0
135.0,0
123.0,0
107.0,0
81.0,0
51.0,0
25.0,0
2.0,0
-18.0,0
-30.0,0
-39.0,0
-44.0,0
-46.0,0
-44.0,0
-39.0,0
-39.0,0
-39.0,0
-37.0,0
-37.0,0
-35.0,0
-30.0,0
-28.0,0
-28.0,0
-28.0,0
-25.0,0
-25.0,0
-21.0,0
-21.0,0
-21.0,0
-21.0,0
-18.0,0
-18.0,0
-18.0,0
-18.0,0
-16.0,0
-16.0,0
-18.0,0
-16.0,0
-14.0,0
-14.0,0
-11.0,0
-11.0,0
-11.0,0
-7.0,0
-4.0,0
-7.0,0
-7.0,0
-9.0,0
-14.0,0
-11.0,0
-7.0,0
-2.0,0
4.0,0
11.0,0
30.0,0
49.0,0
44.0,0
28.0,0
25.0,0
23.0,0
21.0,0
21.0,0
23.0,0
21.0,0
21.0,0
30.0,0
39.0,0
4.0,0
-65.0,0
86.0,0
719.0,0
1354.0,1
1034.0,0
4.0,0
-369.0,0
-21.0,0
70.0,0
-56.0,0
-11.0,0
21.0,0
-25.0,0
-18.0,0
7.0,0
2.0,0
4.0,0
18.0,0
16.0,0
18.0,0
28.0,0
37.0,0
39.0,0
44.0,0
49.0,0
49.0,0
53.0,0
60.0,0
65.0,0
67.0,0
67.0,0
70.0,0
74.0,0
79.0,0
81.0,0
81.0,0
84.0,0
86.0,0
88.0,0
88.0,0
81.0,0
65.0,0
42.0,0
18.0,0
0.0,0
-14.0,0
-30.0,0
-42.0,0
-49.0,0
-51.0,0
-49.0,0
-44.0,0
-32.0,0
-23.0,0
-23.0,0
-23.0,0
