time,ppg,peak
1757168824773,76.014779,0
1757168824805,76.022357,0
1757168824836,76.02722,0
1757168824873,76.033002,0
1757168824905,76.03683,0
1757168824936,76.034844,0
1757168824966,76.033744,0
1757168825000,76.035495,0
1757168825033,76.049629,0
1757168825069,76.067891,0
1757168825106,76.077383,0
1757168825137,76.101531,0
1757168825172,76.126511,0
1757168825208,76.153621,0
1757168825242,76.168764,0
1757168825272,76.192684,0
1757168825302,76.214337,0
1757168825330,76.234448,0
1757168825371,76.257625,0
1757168825405,76.296193,0
1757168825439,76.314592,0
1757168825469,76.329826,0
1757168825505,76.367763,0
1757168825539,76.37038,0
1757168825570,76.276571,0
1757168825596,76.12683,0
1757168825631,76.028932,0
1757168825663,76.018809,0
1757168825696,76.025176,0
1757168825734,76.028249,0
1757168825762,76.053926,0
1757168825799,76.066667,0
1757168825833,76.055925,0
1757168825862,76.053093,0
1757168825899,76.06599,0
1757168825934,76.077917,0
1757168825970,76.094408,0
1757168826000,76.110756,0
1757168826036,76.124096,0
1757168826073,76.151472,0
1757168826105,76.168972,0
1757168826133,76.186518,0
1757168826168,76.2123,0
1757168826200,76.236304,0
1757168826234,76.264911,0
1757168826264,76.286493,0
1757168826302,76.31702,0
1757168826332,76.357815,0
1757168826370,76.393323,0
1757168826400,76.411826,0
1757168826433,76.443453,0
1757168826464,76.470153,0
1757168826499,76.501683,0
1757168826534,76.460582,0
1757168826571,75.956465,0
1757168826599,75.827479,0
1757168826630,75.77313,0
1757168826666,75.747576,0
1757168826698,75.735408,0
1757168826732,76.094193,0
1757168826765,76.09211,0
1757168826796,76.096081,0
1757168826831,76.100248,0
1757168826865,76.095242,0
1757168826898,76.09295,0
1757168826930,76.092032,0
1757168826962,76.10739,0
1757168826995,76.128445,0
1757168827032,76.16047,0
1757168827065,76.184129,0
1757168827096,76.216401,0
1757168827130,76.258075,0
1757168827164,76.272261,0
1757168827205,76.286831,0
1757168827229,76.315985,0
1757168827262,76.35191,0
1757168827301,76.363661,0
1757168827332,76.412001,0
1757168827361,76.440511,0
1757168827394,76.463037,0
1757168827430,76.480713,0
1757168827461,76.499346,0
1757168827498,76.528701,0
1757168827532,76.496833,0
1757168827562,76.025449,0
1757168827595,75.899811,0
1757168827631,75.809836,0
1757168827665,75.771235,0
1757168827708,75.770877,0
1757168827732,76.122696,0
1757168827762,76.121309,0
1757168827797,76.125697,0
1757168827831,76.120398,0
1757168827862,76.119337,0
1757168827895,76.106055,0
1757168827932,76.103985,0
1757168827962,76.108933,0
1757168827996,76.131889,0
1757168828030,76.160743,0
1757168828062,76.181355,0
1757168828096,76.216167,0
1757168828131,76.240588,0
1757168828161,76.235125,0
1757168828196,76.249357,0
1757168828232,76.278413,0
1757168828262,76.296298,0
1757168828294,76.308889,0
1757168828335,76.327678,0
1757168828372,76.359918,0
1757168828397,76.385152,0
1757168828428,76.393564,0
1757168828461,76.37193,0
1757168828498,76.271109,0
1757168828534,76.118113,0
1757168828563,76.020892,0
1757168828596,75.997415,0
1757168828626,76.002565,0
1757168828662,76.008698,0
1757168828696,76.000306,0
1757168828728,76.012552,0
1757168828761,76.037976,0
1757168828793,76.0161,0
1757168828830,76.001393,0
1757168828863,76.007611,0
1757168828894,76.017018,0
1757168828930,76.031563,0
1757168828964,76.062982,0
1757168828995,76.085554,0
1757168829030,76.107234,0
1757168829063,76.132436,0
1757168829094,76.142892,0
1757168829132,76.166075,0
1757168829163,76.196499,0
1757168829194,76.220425,0
1757168829230,76.230327,0
1757168829263,76.242489,0
1757168829294,76.273068,0
1757168829329,76.314514,0
1757168829359,76.331122,0
1757168829396,76.329065,0
1757168829430,76.245516,0
1757168829458,76.112911,0
1757168829495,75.966373,0
1757168829528,75.904485,0
1757168829561,75.914908,0
1757168829594,75.884648,0
1757168829629,75.843111,0
1757168829660,75.843417,0
1757168829694,75.85634,0
1757168829730,75.850546,0
1757168829765,75.836496,0
1757168829791,75.833091,0
1757168829829,75.845657,0
1757168829860,75.866711,0
1757168829893,75.891881,0
1757168829931,75.915572,0
1757168829963,75.924713,0
1757168829992,75.943769,0
1757168830027,75.968047,0
1757168830060,75.993626,0
1757168830094,76.014649,0
1757168830128,76.047116,0
1757168830161,76.055013,0
1757168830196,76.06836,0
1757168830229,76.090906,0
1757168830262,76.130183,0
1757168830304,76.155763,0
1757168830327,76.184331,0
1757168830356,76.216942,0
1757168830390,76.186824,0
1757168830428,76.056693,0
1757168830461,75.915143,0
1757168830495,75.832883,0
1757168830531,75.81231,0
1757168830559,75.794569,0
1757168830593,75.769732,0
1757168830631,75.769517,0
1757168830667,75.777316,0
1757168830694,75.76759,0
1757168830728,75.7605,0
1757168830761,75.761112,0
1757168830793,75.750063,0
1757168830828,75.752922,0
1757168830859,75.779764,0
1757168830891,75.801027,0
1757168830927,75.819569,0
1757168830960,75.828306,0
1757168830992,75.862714,0
1757168831028,75.880442,0
1757168831061,75.889687,0
1757168831092,75.913359,0
1757168831128,75.915012,0
1757168831162,75.933502,0
1757168831194,75.961295,0
1757168831231,75.975521,0
1757168831260,75.969525,0
1757168831294,75.994772,0
1757168831324,75.954824,0
1757168831358,75.809986,0
1757168831392,75.698982,0
1757168831428,75.657472,0
1757168831463,75.629047,0
1757168831493,75.619379,0
1757168831529,75.652257,0
1757168831560,75.664822,0
1757168831594,75.664972,0
1757168831625,75.65089,0
1757168831660,75.654496,0
1757168831692,75.644783,0
1757168831726,75.651241,0
1757168831760,75.675558,0
1757168831789,75.704334,0
1757168831823,75.721691,0
1757168831857,75.742244,0
1757168831889,75.777381,0
1757168831923,75.800975,0
1757168831956,75.804152,0
1757168831987,75.831444,0
1757168832021,75.853274,0
1757168832053,75.867714,0
1757168832087,75.884055,0
1757168832127,75.921334,0
1757168832160,75.932239,0
1757168832188,75.934342,0
1757168832219,75.832479,0
1757168832254,75.694028,0
1757168832288,75.592628,0
1757168832320,75.549164,0
1757168832356,75.507816,0
1757168832392,75.907076,0
1757168832425,75.888417,0
1757168832462,76.27704,0
1757168832492,76.285073,0
1757168832527,76.29064,0
1757168832561,76.300666,0
1757168832588,76.298342,0
1757168832624,76.303387,0
1757168832654,76.326747,0
1757168832695,76.352763,0
1757168832723,76.379625,0
1757168832757,76.408863,0
1757168832790,76.045899,0
1757168832824,76.451884,0
1757168832858,76.093093,0
1757168832892,76.509606,0
1757168832925,76.154142,0
1757168832956,76.542517,0
1757168832993,76.180092,0
1757168833027,76.597732,0
1757168833059,76.250262,0
1757168833092,76.265438,0
1757168833124,76.294481,0
1757168833166,76.31997,0
1757168833192,76.28176,0
1757168833227,76.141635,0
1757168833258,76.021257,0
1757168833293,75.980078,0
1757168833323,75.950918,0
1757168833358,75.9222,0
1757168833391,75.91804,0
1757168833427,75.933932,0
1757168833468,75.936595,0
1757168833493,75.933763,0
1757168833525,75.958919,0
1757168833558,75.967044,0
1757168833595,75.962669,0
1757168833625,75.991204,0
1757168833656,76.026328,0
1757168833693,76.059414,0
1757168833727,76.086387,0
1757168833757,76.10114,0
1757168833798,76.133972,0
1757168833826,76.154246,0
1757168833858,76.191368,0
1757168833892,76.224708,0
1757168833931,76.230386,0
1757168833957,76.257677,0
1757168833990,76.279859,0
1757168834026,76.308693,0
1757168834058,76.338798,0
1757168834092,76.333296,0
1757168834126,76.37523,0
1757168834160,76.396383,0
1757168834192,76.340985,0
1757168834227,76.22133,0
1757168834257,76.112208,0
1757168834288,76.044056,0
1757168834321,76.017604,0
1757168834356,76.032513,0
1757168834391,76.062618,0
1757168834426,76.062754,0
1757168834460,76.059668,0
1757168834491,76.068178,0
1757168834524,76.072221,0
1757168834561,76.064642,0
1757168834592,76.073985,0
1757168834625,76.113139,0
1757168834659,76.141407,0
1757168834690,76.174552,0
1757168834727,76.19827,0
1757168834756,76.226115,0
1757168834789,76.242326,0
1757168834826,76.250158,0
1757168834858,76.288706,0
1757168834890,76.311597,0
1757168834923,76.321792,0
1757168834956,76.342873,0
1757168834985,76.386161,0
1757168835023,76.417776,0
1757168835056,76.437099,0
1757168835092,76.44165,0
1757168835122,76.353707,0
1757168835155,76.22146,0
1757168835186,76.14101,0
1757168835223,76.095228,0
1757168835254,76.079122,0
1757168835287,76.067038,0
1757168835320,76.070717,0
1757168835353,76.097488,0
1757168835389,76.102566,0
1757168835423,76.120502,0
1757168835459,76.118744,0
1757168835487,76.100033,0
1757168835523,76.117878,0
1757168835559,76.14086,0
1757168835590,76.182189,0
1757168835620,76.226564,0
1757168835652,76.231375,0
1757168835692,76.25217,0
1757168835725,76.27937,0
1757168835759,76.318049,0
1757168835789,76.337476,0
1757168835819,76.3323,0
1757168835854,76.391298,0
1757168835888,76.439651,0
1757168835922,76.448877,0
1757168835952,76.470928,0
1757168835988,76.525062,0
1757168836022,76.563858,0
1757168836053,76.50764,0
1757168836089,76.376558,0
1757168836125,76.247521,0
1757168836155,76.170672,0
1757168836189,76.113542,0
1757168836225,76.098321,0
1757168836258,76.101902,0
1757168836289,76.089525,0
1757168836320,76.107273,0
1757168836351,76.117299,0
1757168836388,76.130365,0
1757168836423,76.148849,0
1757168836455,76.171036,0
1757168836488,76.181922,0
1757168836521,76.20006,0
1757168836552,76.229793,0
1757168836588,76.265418,0
1757168836622,76.312274,0
1757168836653,76.33898,0
1757168836691,76.3462,0
1757168836724,76.393258,0
1757168836756,76.438929,0
1757168836788,76.463213,0
1757168836821,76.484606,0
1757168836850,76.51249,0
1757168836883,76.560218,0
1757168836914,76.601501,0
1757168836949,76.636365,0
1757168836984,76.644731,0
1757168837020,76.684275,0
1757168837052,76.668409,0
1757168837087,76.533832,0
1757168837122,76.381454,0
1757168837156,76.303654,0
1757168837188,75.84358,0
1757168837223,75.824413,0
1757168837259,75.822889,0
1757168837288,76.215242,0
1757168837322,76.207273,0
1757168837353,76.219429,0
1757168837386,76.239741,0
1757168837418,76.214116,0
1757168837452,76.230776,0
1757168837484,76.254715,0
1757168837522,76.28189,0
1757168837555,76.298296,0
1757168837585,76.327033,0
1757168837622,76.377138,0
1757168837653,76.383466,0
1757168837689,76.402978,0
1757168837722,76.4154,0
1757168837755,76.469105,0
1757168837789,76.497725,0
1757168837821,76.483239,0
1757168837852,76.528408,0
1757168837888,76.600115,0
1757168837921,76.573578,0
1757168837952,76.528942,0
1757168837988,76.502822,0
1757168838021,76.388713,0
1757168838052,76.232267,0
1757168838088,76.163087,0
1757168838122,76.17017,0
1757168838152,76.167931,0
1757168838189,76.569457,0
1757168838222,76.963203,0
1757168838252,76.975169,0
1757168838288,76.96263,0
1757168838321,76.561169,0
1757168838353,76.576996,0
1757168838383,76.597999,0
1757168838419,76.627335,0
1757168838453,76.618546,0
1757168838488,76.245412,0
1757168838518,76.682693,0
1757168838552,76.735903,0
1757168838588,76.752674,0
1757168838622,76.71951,0
1757168838654,76.335881,0
1757168838686,76.424208,0
1757168838719,76.437809,0
1757168838753,76.84136,0
1757168838789,76.865917,0
1757168838822,76.93138,0
1757168838852,76.575381,0
1757168838890,76.540082,0
1757168838922,76.399384,0
1757168838952,76.244806,0
1757168838988,75.751476,0
1757168839021,75.741867,0
1757168839052,75.707589,0
1757168839088,76.477939,0
1757168839121,76.489515,0
1757168839150,76.517855,0
1757168839188,76.545681,0
1757168839221,76.523923,0
1757168839252,76.52835,0
1757168839288,76.529359,0
1757168839321,76.528154,0
1757168839356,76.55042,0
1757168839381,76.557627,0
1757168839413,76.595277,0
1757168839447,76.644763,0
1757168839483,76.643403,0
1757168839517,76.652257,0
1757168839550,76.315536,0
1757168839580,76.329071,0
1757168839614,76.340556,0
1757168839650,76.373564,0
1757168839683,76.405699,0
1757168839718,76.405908,0
1757168839752,76.456474,0
1757168839788,76.497718,0
1757168839825,76.518923,0
1757168839856,76.520166,0
1757168839889,76.41275,0
1757168839917,76.237847,0
1757168839952,76.139155,0
1757168839989,76.106811,0
1757168840022,76.105346,0
1757168840058,76.108288,0
1757168840088,76.09515,0
1757168840113,76.108406,0
1757168840148,76.140971,0
1757168840177,76.14353,0
1757168840211,76.136713,0
1757168840245,76.160652,0
1757168840279,76.145659,0
1757168840313,76.153705,0
1757168840346,76.206362,0
1757168840388,76.217612,0
1757168840414,76.229878,0
1757168840447,76.266916,0
1757168840480,76.286044,0
1757168840515,76.309716,0
1757168840546,76.341558,0
1757168840582,76.354293,0
1757168840615,76.369963,0
1757168840645,76.365562,0
1757168840680,76.405543,0
1757168840717,76.434189,0
1757168840746,76.445035,0
1757168840780,76.480765,0
1757168840816,76.506006,0
1757168840847,76.429716,0
1757168840879,76.268231,0
1757168840921,76.146616,0
1757168840948,76.100971,0
1757168840982,76.089636,0
1757168841015,76.096309,0
1757168841051,76.115665,0
1757168841082,76.120528,0
1757168841115,76.134767,0
1757168841156,76.119343,0
1757168841187,76.108425,0
1757168841212,76.128341,0
1757168841248,76.145164,0
1757168841282,76.140919,0
1757168841312,76.17297,0
1757168841347,76.216238,0
1757168841378,76.225106,0
1757168841413,76.215984,0
1757168841449,76.254325,0
1757168841488,76.285718,0
1757168841523,76.304976,0
1757168841550,76.325549,0
1757168841581,76.350588,0
1757168841615,76.383206,0
1757168841650,76.402841,0
1757168841680,76.427568,0
1757168841714,76.438558,0
1757168841750,76.37482,0
1757168841780,76.209155,0
1757168841814,76.07125,0
1757168841846,76.0111,0
1757168841878,76.012253,0
1757168841912,76.005449,0
1757168841945,75.985273,0
1757168841980,76.005619,0
1757168842014,76.035554,0
1757168842048,76.026061,0
1757168842078,76.015977,0
1757168842111,76.01793,0
1757168842149,76.028275,0
1757168842179,76.051732,0
1757168842210,76.081856,0
1757168842246,76.100652,0
1757168842278,76.135203,0
1757168842311,76.167768,0
1757168842346,76.178627,0
1757168842376,76.183139,0
1757168842410,76.230822,0
1757168842445,76.254123,0
1757168842477,76.298075,0
1757168842511,76.31413,0
1757168842546,76.317333,0
1757168842579,76.351799,0
1757168842611,76.40288,0
1757168842648,76.42861,0
1757168842679,76.353577,0
1757168842713,75.80882,0
1757168842744,75.667856,0
1757168842777,75.605714,0
1757168842813,75.591065,0
1757168842844,75.581957,0
1757168842877,75.57809,0
1757168842913,75.58154,0
1757168842944,75.602133,0
1757168842976,75.612973,0
1757168843010,75.609138,0
1757168843045,75.633995,0
1757168843077,75.641137,0
1757168843110,75.650408,0
1757168843145,75.659835,0
1757168843177,75.716261,0
1757168843208,75.743553,0
1757168843244,75.769068,0
1757168843278,75.79343,0
1757168843312,75.828176,0
1757168843344,75.86011,0
1757168843375,75.892909,0
1757168843409,75.914615,0
1757168843441,75.927252,0
1757168843478,75.949355,0
1757168843510,75.981771,0
1757168843546,76.022806,0
1757168843579,76.021895,0
1757168843609,76.046133,0
1757168843647,76.034968,0
1757168843679,75.912278,0
1757168843710,75.755337,0
1757168843745,75.675447,0
1757168843778,75.662088,0
1757168843810,75.659138,0
1757168843846,75.676645,0
1757168843878,75.696489,0
1757168843913,75.716476,0
1757168843945,75.723768,0
1757168843975,75.713703,0
1757168844012,75.712609,0
1757168844045,75.718729,0
1757168844076,75.734627,0
1757168844111,75.756346,0
1757168844145,75.781958,0
1757168844178,75.780676,0
1757168844212,75.815188,0
1757168844246,75.865429,0
1757168844277,75.850709,0
1757168844310,75.863079,0
1757168844343,75.9022,0
1757168844375,75.935273,0
1757168844410,75.946881,0
1757168844445,75.975189,0
1757168844476,75.99804,0
1757168844508,76.002181,0
