time,ppg
1764027213195,65.563845
1764027213226,65.529229
1764027213262,65.429313
1764027213295,65.298993
1764027213329,65.281057
1764027213362,65.386467
1764027213394,65.54253
1764027213428,65.710597
1764027213463,65.852297
1764027213497,65.923789
1764027213531,65.97317
1764027213563,66.044219
1764027213596,66.105443
1764027213626,65.987721
1764027213664,65.713247
1764027213700,65.566195
1764027213732,65.564333
1764027213766,65.638194
1764027213797,65.734562
1764027213828,65.826281
1764027213863,65.923242
1764027213895,65.994681
1764027213927,66.006426
1764027213962,65.989023
1764027213996,66.011895
1764027214030,66.039375
1764027214062,66.076381
1764027214097,66.1031
1764027214129,66.105691
1764027214162,66.120365
1764027214200,66.109096
1764027214231,66.075586
1764027214263,66.070072
1764027214301,66.089323
1764027214330,66.14073
1764027214364,66.242905
1764027214399,66.317561
1764027214431,66.269937
1764027214470,65.923242
1764027214498,65.691027
1764027214528,65.671248
1764027214564,65.817701
1764027214594,65.978776
1764027214629,66.138569
1764027214659,66.310874
1764027214693,66.458623
1764027214726,66.576586
1764027214765,66.654054
1764027214798,66.717511
1764027214832,66.756346
1764027214866,66.777427
1764027214892,66.811744
1764027214927,66.845969
1764027214958,66.884446
1764027215002,66.931569
1764027215026,66.981452
1764027215065,67.023054
1764027215093,67.068776
1764027215126,67.115606
1764027215167,67.163373
1764027215201,67.181134
1764027215227,66.973222
1764027215261,66.772466
1764027215296,66.698559
1764027215329,66.736046
1764027215364,66.826399
1764027215396,66.896008
1764027215428,66.951256
1764027215462,67.015729
1764027215493,67.06502
1764027215525,67.085964
1764027215563,67.093822
1764027215594,67.105658
1764027215628,67.124109
1764027215662,67.15157
1764027215697,67.181779
1764027215731,67.21879
1764027215763,67.247931
1764027215797,67.273296
1764027215827,67.296877
1764027215854,67.29788
1764027215889,67.292404
1764027215922,67.304475
1764027215955,67.262026
1764027215991,66.871256
1764027216022,66.621508
1764027216056,66.579255
1764027216091,66.676905
1764027216136,66.826893
1764027216160,66.987344
1764027216189,67.13573
1764027216220,67.268517
1764027216258,67.370745
1764027216295,67.426669
1764027216328,67.451618
1764027216360,67.458414
1764027216395,67.4921
1764027216423,67.541169
1764027216458,67.582816
1764027216494,67.63141
1764027216522,67.672849
1764027216556,67.709998
1764027216587,67.739757
1764027216625,67.758293
1764027216656,67.773683
1764027216690,67.799322
1764027216726,67.787596
1764027216760,67.364983
1764027216793,67.074799
1764027216828,66.9822
1764027216861,67.031595
1764027216896,67.141362
1764027216928,67.265581
1764027216961,67.398635
1764027216991,67.522959
1764027217026,67.603637
1764027217062,67.631814
1764027217096,67.640792
1764027217133,67.647647
1764027217163,67.659204
1764027217192,67.678227
1764027217223,67.696007
1764027217254,67.715135
1764027217290,67.733657
1764027217320,67.748963
1764027217357,67.785598
1764027217390,67.818742
1764027217420,67.849849
1764027217458,67.878736
1764027217493,67.892271
1764027217523,67.644073
1764027217561,67.219611
1764027217591,66.994167
1764027217620,66.97265
1764027217661,67.064349
1764027217692,67.19577
1764027217727,67.323316
1764027217757,67.433603
1764027217787,67.527731
1764027217828,67.571065
1764027217860,67.580785
1764027217888,67.570922
1764027217921,67.56697
1764027217962,67.575531
1764027217996,67.588545
1764027218030,67.600961
1764027218061,67.619399
1764027218089,67.631287
1764027218128,67.648272
1764027218163,67.661222
1764027218193,67.669666
1764027218222,67.684347
1764027218260,67.712752
1764027218296,67.703598
1764027218336,67.205639
1764027218371,66.842304
1764027218406,66.68199
1764027218437,66.704647
1764027218472,66.789406
1764027218502,66.892089
1764027218523,66.997897
1764027218554,67.097878
1764027218587,67.173315
1764027218621,67.20047
1764027218658,67.179539
1764027218691,67.143126
1764027218722,67.131173
1764027218758,67.151205
1764027218792,67.178933
1764027218827,67.194363
1764027218862,67.199539
1764027218894,67.212508
1764027218926,67.238433
1764027218964,67.265158
1764027218991,67.294982
1764027219025,67.313524
1764027219057,67.339833
1764027219097,67.369039
1764027219128,67.30896
1764027219158,66.7852
1764027219192,66.479951
1764027219226,66.36663
1764027219265,66.418583
1764027219293,66.52488
1764027219324,66.643572
1764027219369,66.765819
1764027219395,66.88386
1764027219428,66.96929
1764027219462,66.999701
1764027219494,67.000931
1764027219524,67.001335
1764027219559,67.021791
1764027219589,67.075352
1764027219624,67.136941
1764027219657,67.202462
1764027219689,67.271375
1764027219720,67.335139
1764027219758,67.375614
1764027219791,67.395471
1764027219823,67.399352
1764027219859,67.39898
1764027219890,67.400927
1764027219926,67.402008
1764027219960,67.390361
1764027219993,67.207117
1764027220024,66.718839
1764027220060,66.4668
1764027220091,66.425133
1764027220122,66.50542
1764027220157,66.63225
1764027220188,66.756372
1764027220226,66.870728
1764027220263,66.972305
1764027220293,67.0328
1764027220325,67.036843
1764027220359,67.016224
1764027220400,67.008737
1764027220425,67.03181
1764027220466,67.065183
1764027220495,67.100919
1764027220530,67.141531
1764027220563,67.186355
1764027220595,67.220985
1764027220629,67.261252
1764027220660,67.303042
1764027220693,67.336278
1764027220730,67.361584
1764027220760,67.397835
1764027220797,67.437334
1764027220829,67.239227
1764027220861,66.840455
1764027220898,66.636521
1764027220928,66.619919
1764027220964,66.690519
1764027220994,66.795233
1764027221029,66.90054
1764027221059,67.000905
1764027221098,67.075645
1764027221131,67.112371
1764027221166,67.114376
1764027221198,67.096036
1764027221230,67.08515
1764027221261,67.090268
1764027221292,67.109213
1764027221326,67.139382
1764027221368,67.166941
1764027221398,67.190509
1764027221428,67.200704
1764027221459,67.20047
1764027221492,67.16937
1764027221529,67.148341
1764027221559,67.145483
1764027221592,67.159278
1764027221626,67.132638
1764027221660,66.667511
1764027221690,66.360803
1764027221724,66.24383
1764027221760,66.277118
1764027221792,66.366077
1764027221830,66.467868
1764027221863,66.562002
1764027221894,66.657159
1764027221926,66.732576
1764027221962,66.743293
1764027221996,66.728234
1764027222025,66.712466
1764027222059,66.715981
1764027222091,66.752238
1764027222123,66.804712
1764027222161,66.844621
1764027222188,66.862727
1764027222223,66.879335
1764027222259,66.901236
1764027222291,66.920579
1764027222327,66.935514
1764027222360,66.959004
1764027222392,66.977923
1764027222427,67.006667
1764027222460,67.047617
1764027222492,66.828944
1764027222524,66.474782
1764027222561,66.279038
1764027222594,66.25898
1764027222629,66.325354
1764027222661,66.418779
1764027222689,66.520381
1764027222721,66.617087
1764027222756,66.695929
1764027222792,66.734282
1764027222825,66.73494
1764027222860,66.730239
1764027222893,66.733
1764027222928,66.736378
1764027222962,66.731515
1764027223002,66.734184
1764027223026,66.726255
1764027223059,66.704757
