time,ppg
1753556279451,93.964153
1753556279480,94.026087
1753556279517,94.158705
1753556279551,94.166023
1753556279583,93.934791
1753556279617,93.410647
1753556279655,93.105235
1753556279686,93.03224
1753556279718,93.710688
1753556279749,94.465797
1753556279780,94.542393
1753556279816,94.570596
1753556279848,94.54766
1753556279880,94.473812
1753556279914,93.815813
1753556279948,93.870722
1753556279982,93.962728
1753556280019,94.000176
1753556280051,94.010241
1753556280080,94.098373
1753556280116,94.17379
1753556280153,94.136739
1753556280180,94.173738
1753556280216,94.281219
1753556280251,94.289754
1753556280289,94.260562
1753556280317,94.330731
1753556280346,94.394638
1753556280383,93.853391
1753556280416,93.884179
1753556280447,93.594542
1753556280483,93.685441
1753556280517,93.432965
1753556280547,93.451917
1753556280583,93.626072
1753556280617,93.733599
1753556280647,93.876471
1753556280687,93.879902
1753556280717,93.80718
1753556280750,93.773058
1753556280781,93.74397
1753556280815,93.825344
1753556280848,93.911575
1753556280883,93.991719
1753556280917,94.097045
1753556280947,94.104662
1753556280982,94.167202
1753556281018,94.261414
1753556281053,94.284299
1753556281083,93.687283
1753556281116,93.777153
1753556281150,93.824778
1753556281180,94.450446
1753556281217,94.561768
1753556281250,94.426722
1753556281283,93.284787
1753556281316,92.946204
1753556281350,92.929772
1753556281377,93.616046
1753556281410,93.744354
1753556281450,93.87537
1753556281483,93.978639
1753556281517,93.905904
1753556281550,93.861568
1753556281580,93.914277
1753556281616,93.907057
1753556281650,93.996309
1753556281681,94.12532
1753556281714,94.204923
1753556281750,94.198335
1753556281780,94.253237
1753556281815,94.34997
1753556281852,94.36316
1753556281880,94.372834
1753556281916,94.433792
1753556281950,94.503408
1753556281980,93.90649
1753556282014,93.998626
1753556282050,94.112839
1753556282080,94.595655
1753556282116,93.507738
1753556282150,93.093757
1753556282180,92.985325
1753556282216,93.019147
1753556282251,93.741424
1753556282280,93.914557
1753556282316,93.990514
1753556282350,93.984564
1753556282381,93.96901
1753556282417,93.966393
1753556282450,93.919596
1753556282480,93.98235
1753556282516,94.155099
1753556282550,94.185268
1753556282575,94.221251
1753556282611,94.350992
1753556282646,94.396376
1753556282674,93.803286
1753556282710,93.915071
1753556282746,93.917884
1753556282782,94.513148
1753556282814,94.600733
1753556282848,94.668598
1753556282878,94.188641
1753556282909,94.187267
1753556282942,93.236173
1753556282976,92.78884
1753556283009,92.597061
1753556283041,92.610382
1753556283074,93.277163
1753556283110,93.378557
1753556283144,94.033418
1753556283175,94.069571
1753556283211,94.653976
1753556283245,94.566345
1753556283275,94.559952
1753556283310,94.043164
1753556283349,94.091687
1753556283386,94.123145
1753556283411,94.231779
1753556283442,94.217482
1753556283474,94.263322
1753556283507,94.350784
1753556283541,94.366956
1753556283577,94.373928
1753556283610,94.428505
1753556283641,94.455205
1753556283676,94.510485
1753556283706,94.561989
1753556283743,94.658201
1753556283778,94.596944
1753556283806,93.536944
1753556283840,93.113067
1753556283875,93.004303
1753556283906,93.125339
1753556283940,93.872558
1753556283973,93.978281
1753556284007,94.580609
1753556284043,94.014095
1753556284077,93.937526
1753556284106,93.932942
1753556284144,93.979961
1753556284177,94.047468
1753556284206,94.174747
1753556284239,94.243439
1753556284273,94.312899
1753556284311,94.338355
1753556284340,94.407757
1753556284374,94.453037
1753556284408,94.477093
1753556284443,94.553656
1753556284476,94.559131
1753556284504,94.600154
1753556284542,94.672303
1753556284577,94.307079
1753556284606,93.820246
1753556284643,93.095456
1753556284676,93.778247
1753556284706,93.923242
1753556284742,94.653989
1753556284776,94.204461
1753556284805,94.228491
1753556284842,94.70201
1753556284876,94.053158
1753556284907,94.728175
1753556284943,94.162735
1753556284973,94.806073
1753556285007,94.356715
1753556285050,94.420276
1753556285076,94.411832
1753556285117,94.502907
1753556285150,94.53848
1753556285177,94.599346
1753556285209,94.68617
1753556285241,94.696268
1753556285271,94.764054
1753556285305,94.873984
1753556285339,94.755044
1753556285377,94.289924
1753556285410,93.914355
1753556285447,93.196167
1753556285473,93.205425
1753556285506,93.988314
1753556285539,94.086374
1753556285571,94.729184
1753556285607,94.112358
1753556285639,94.679952
1753556285675,94.592777
1753556285706,93.998262
1753556285739,94.076902
1753556285775,94.118588
1753556285806,94.831275
1753556285845,94.267554
1753556285876,94.317899
1753556285906,94.366207
1753556285939,94.390536
1753556285975,94.405615
1753556286005,94.471409
1753556286039,94.466103
1753556286075,94.517764
1753556286105,94.633507
1753556286139,94.580518
1753556286174,94.058848
1753556286207,93.64156
1753556286238,93.553057
1753556286271,93.600831
1753556286309,93.722596
1753556286352,94.496175
1753556286374,94.596085
1753556286407,93.940293
1753556286442,93.908001
1753556286476,94.48721
1753556286506,94.473291
